405,172 443,170 480,170 517,168 557,167 594,168 631,169 669,169 707,169
405,206 441,205 479,203 517,202 555,202 594,202 633,202 671,203 707,203
404,240 442,239 478,238 516,238 556,238 595,238 634,238 671,238 710,236
404,275 441,274 478,274 517,273 557,273 596,273 634,273 671,273 709,273
402,311 441,310 476,309 516,310 556,309 596,310 634,309 671,309 711,308
404,345 441,345 479,345 517,346 556,345 595,344 634,345 671,345 708,342
405,380 441,380 479,380 518,382 557,381 596,381 634,379 671,378 708,377
407,413 445,413 481,415 517,416 556,415 595,415 633,415 669,413 706,411  
